codigo_barras,codigo_interno,nome_produto,categoria,cor,tamanho,quantidade_atual,preco_custo,preco_venda
BODY001-CIN-G,BODY001,BODY TEXAS FARM POLIAMIDA (FEMININO),BODY,CINZA CHUMBO,G,1,70.20,155.00
BODY001-CIN-M,BODY001,BODY TEXAS FARM POLIAMIDA (FEMININO),BODY,CINZA CHUMBO,M,0,70.20,155.00
BODY001-CIN-P,BODY001,BODY TEXAS FARM POLIAMIDA (FEMININO),BODY,CINZA CHUMBO,P,0,70.20,155.00
BODY002-ROS-M,BODY002,BODY TEXAS FARM POLIAMIDA (FEMININO),BODY,ROSA PINK,M,1,70.20,155.00
BOL001-PEL,BOL001,BOLSA FAZENDA DECOR BUZIOS (FEMINIA),BOLSA,PELO,,2,429.00,799.00
BOL004-PEL,BOL004,BOLSA FAZENDA DECOR CAMBURIU (FEMININA),BOLSA,PELO,,2,499.00,899.00
BOL003-PEL,BOL003,BOLSA FAZENDA DECOR CANOAS (FEMININA),BOLSA,PELO,,0,379.00,699.00
BOL002-PEL,BOL002,BOLSA FAZENDA DECOR CULTCH LUA (FEMININA),BOLSA,PELO,,3,299.00,599.00
BOL11-PEL,BOL11,BOLSA FAZENDA DECOR NECESSAIRE (FEMININA),BOLSA,PELO,,2,150.00,330.00
BOL005-PEL,BOL005,BOLSA FAZENDA DECOR TABACOF (FEMININA),BOLSA,PELO,,2,369.00,599.00
BOL010-PRE,BOL010,BOLSA GOYAZES BOLSA FRANJA (FEMININA),BOLSA,PRETA,,1,488.25,976.00
BOL007-COU,BOL007,BOLSA GOYAZES BRANCA E ROSA (FEMININA),BOLSA,COURO,,1,521.00,1146.00
BOL009-COU,BOL009,BOLSA GOYAZES FERRADURA (FEMININA),BOLSA,COURO,,1,860.00,1160.00
BOL008-COU,BOL008,BOLSA GOYAZES LATERAL MARROM (FEMININA),BOLSA,COURO,,1,510.00,1112.00
BOL006-COU,BOL006,BOLSA GOYAZES PEDRAS TURQUESA (FEMININA),BOLSA,COURO,,0,492.00,1082.20
BN033-CAM,BN033,BONE ACADEMY BONE TRADICIONAL TELA (MASCULINO),BONE,CAMUFLADO,,1,60.00,250.00
BN032-VER,BN032,BONE ARIAT BONE TRADICIONAL (MASCULINO),BONE,VERMELHO,,1,60.00,250.00
BN016-AZU,BN016,BONE ARIAT BONE TRADICIONAL TELA (MASCULINO),BONE,AZUL ROYAL,,0,158.00,347.60
BN014-CIN,BN014,BONE ARIAT BONE TRADICIONAL TELA (MASCULINO),BONE,CINZA/PRETO,,1,158.00,347.60
BN017-MAR,BN017,BONE ARIAT BONE TRADICIONAL TELA (MASCULINO),BONE,MARROM,,1,158.00,347.60
BN015-PRE,BN015,BONE ARIAT BONE TRADICIONAL TELA (MASCULINO),BONE,PRETO,,0,158.00,347.60
BN018-PRE,BN018,BONE ARIAT BONE TRADICIONAL TELA (MASCULINO),BONE,PRETO/BRANCO,,0,158.00,347.60
BN013-VER,BN013,BONE ARIAT BONE TRADICIONAL TELA/ABA RETA (MASCULINO),BONE,VERDE MUSGO /ABA COLORIDA,,1,158.00,347.60
BN039-BRA,BN039,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (FEMININO),BONE,BRANCO / ROSA,,1,60.00,180.00
BN040-ROS,BN040,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (FEMININO),BONE,ROSA,,1,60.00,180.00
BN041-ROX,BN041,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (FEMININO),BONE,ROXO,,1,60.00,180.00
BN036-AZU,BN036,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (MASCULINO),BONE,AZUL ESCURO,,1,60.00,180.00
BN038-BRA,BN038,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (MASCULINO),BONE,BRANCO / AMARELO,,1,60.00,180.00
BN037-CAM,BN037,BONE BASS PRO SHOPPS BONE TRADICIONAL TELA (MASCULINO),BONE,CAMUFLADO / PRETO,,0,60.00,180.00
BN031-LAR,BN031,BONE CABELAS BONE TRADICIONAL TELA (MASCULINO),BONE,LARANJA,,1,60.00,250.00
BN035-PRE,BN035,BONE CAVENDERS BONE TRADICIONAL TELA (MASCULINO),BONE,PRETO / BRANCO,,2,60.00,250.00
BN012-MAR,BN012,BONE CINCH BONE TRADICIONAL TELA FECHADO (MASCULINO),BONE,MARROM/CINZA,,1,162.00,356.40
BN011-CIN,BN011,BONE CINCH BONE TRADICIONAL TELA/IMPORTADO (MASCULINO),BONE,CINZA,,1,162.00,356.40
BN019-CIN,BN019,BONE CLASSIC BONE TRADICIONAL TELA (MASCULINO),BONE,CINZA/BEGE,,0,42.00,105.01
BN034-VER,BN034,BONE MAGELLAN BONE TRADICIONAL TELA (MASCULINO),BONE,VERDE / PRETO,,1,60.00,250.00
BN028-AZU,BN028,BONE RICHARDSON BONE TRADICIONAL TELA (MASCULINO),BONE,AZUL / BRANCO,,1,60.00,250.00
BN029-AZU,BN029,BONE RICHARDSON BONE TRADICIONAL TELA (MASCULINO),BONE,AZUL / BRANCO / VERMELHO,,3,60.00,250.00
BN010-JEA,BN010,BONE TEXAS FARM BONE JUVENIL TELA (MASCULINO),BONE,JEANS,,1,59.90,131.78
BN009-AZU,BN009,BONE TEXAS FARM BONE TRADICIONAL FECHADO (MASCULINO),BONE,AZUL MARINHO,,0,59.90,131.78
BN004-CHU,BN004,BONE TEXAS FARM BONE TRADICIONAL FECHADO (MASCULINO),BONE,CHUMBO,,0,59.90,131.78
BN008-CIN,BN008,BONE TEXAS FARM BONE TRADICIONAL FECHADO (MASCULINO),BONE,CINZA/VERDE FLORECENTE,,1,59.90,131.78
BN022-PRE,BN022,BONE TEXAS FARM BONE TRADICIONAL FECHADO (MASCULINO),BONE,PRETO,,1,59.90,131.86
BN005-VER,BN005,BONE TEXAS FARM BONE TRADICIONAL FECHADO (MASCULINO),BONE,VERDE MUSGO,,0,59.90,131.78
BN007-BRA,BN007,BONE TEXAS FARM BONE TRADICIONAL TELA (MASCULINO),BONE,BRANCO/MARINHO,,0,59.90,131.78
BN003-VER,BN003,BONE TEXAS FARM BONE TRADICIONAL TELA (MASCULINO),BONE,VERDE MUSGO,,0,59.90,131.78
BN006-VER,BN006,BONE TEXAS FARM BONE TRADICIONAL TELA (MASCULINO),BONE,VERMELHO BORDO,,0,59.90,131.78
BN023-AZU,BN023,BONE TEXAS FARM BONE TRADIONAL TELA (MASCULINO),BONE,AZUL,,0,29.90,99.90
BN021-AZU,BN021,BONE TOMAHAWK BONE COPA BAIXA (MASCULINO),BONE,AZUL/VERMELHO,,1,60.00,132.01
BN020-CAM,BN020,BONE TOMAHAWK BONE TRADICIONAL TELA (MASCULINO),BONE,CAMUFLADO,,1,60.00,132.01
BN030-MAR,BN030,BONE TSC BONE TRADICIONAL TELA (MASCULINO),BONE,MARROM,,1,60.00,250.00
BN025-AZU,BN025,BONE TXC BONE TRADICIONAL TELA (MASCULINO),BONE,AZUL,,0,29.90,99.90
BN027-MAR,BN027,BONE TXC BONE TRADICIONAL TELA (MASCULINO),BONE,MARROM/BRANCO/FLORECENTE,,0,29.90,99.90
BN024-VER,BN024,BONE TXC BONE TRADICIONAL TELA (MASCULINO),BONE,VERDE,,1,29.90,99.90
BN026-LAR,BN026,BONE TXC BONE TRADIONAL TELA (MASCULINO),BONE,LARANJA/PRETO,,1,29.90,99.90
BN044-CIN,BN044,BONE USA BONE TRADICIONAL TELA (MASCULINO),BONE,CINZA,,3,60.00,180.00
BN002-MAR,BN002,BONE WRANGLER BONE RASO (MASCULINO),BONE,MARROM,,0,0.00,190.00
BN001-VER,BN001,BONE WRANGLER BONE RASO (MASCULINO),BONE,VERMELHO/BEGE/AZUL,,1,0.00,164.78
BN042-CIN,BN042,BONE WRANGLER BONE TRADICIONAL TELA (MASCULINO),BONE,CINZA / VERDE,,2,60.00,180.00
BN043-PRE,BN043,BONE WRANGLER BONE TRADICIONAL TELA (MASCULINO),BONE,PRETO / AZUL,,1,60.00,180.00
BOT004-MAR-40.0,BOT004,BOTA CLASSIC BOTA TENIS (MASCULINO),BOTA,MARROM,40.0,1,265.91,615.90
BOT003-MAR-40.0,BOT003,BOTA CLASSIC BOTA TENIS (MASCULINO),BOTA,MARROM,40.0,1,265.91,615.90
BOT002-MAR-41.0,BOT002,BOTA CLASSIC BOTA TENIS (MASCULINO),BOTA,MARROM,41.0,0,265.91,615.90
BOT005-MAR-41.0,BOT005,BOTA CLASSIC BOTA TENIS (MASCULINO),BOTA,MARROM,41.0,1,265.91,615.90
BOT001-MAR-43.0,BOT001,BOTA CLASSIC BOTA TENIS (MASCULINO),BOTA,MARROM,43.0,0,265.91,615.90
BOT006-MAR-43.0,BOT006,BOTA CLASSIC BOTA TENIS (MASCULINO),BOTA,MARROM,43.0,0,265.91,615.90
BOT032-MAR-34.0,BOT032,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),BOTA,MARROM,34.0,1,582.00,1280.00
BOT033-MAR-35.0,BOT033,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),BOTA,MARROM,35.0,1,582.00,1280.00
BOT034-MAR-38.0,BOT034,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),BOTA,MARROM,38.0,1,582.00,1280.00
BOT035-PRE-34.0,BOT035,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),BOTA,PRETO,34.0,1,536.00,1179.20
BOT036-PRE-35.0,BOT036,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),BOTA,PRETO,35.0,1,536.00,1179.20
BOT037-PRE-37.0,BOT037,BOTA GOYAZES BICO FINO CANO CURTO (FEMININA),BOTA,PRETO,37.0,1,536.00,1179.20
BOT013-AZU-35.0,BOT013,BOTA SHERIFF WEST COURO (FEMININO),BOTA,AZUL,35.0,1,299.00,660.00
BOT015-AZU-36.0,BOT015,BOTA SHERIFF WEST COURO (FEMININO),BOTA,AZUL,36.0,2,299.00,660.00
BOT014-AZU-37.0,BOT014,BOTA SHERIFF WEST COURO (FEMININO),BOTA,AZUL,37.0,2,299.00,660.00
BOT016-AZU-38.0,BOT016,BOTA SHERIFF WEST COURO (FEMININO),BOTA,AZUL,38.0,2,299.00,660.00
BOT030-MAR-36.0,BOT030,BOTA SHERIFF WEST COURO (FEMININO),BOTA,MARROM,36.0,1,299.00,660.00
BOT029-MAR-38.0,BOT029,BOTA SHERIFF WEST COURO (FEMININO),BOTA,MARROM,38.0,0,299.00,660.00
BOT027-MAR-39.0,BOT027,BOTA SHERIFF WEST COURO (FEMININO),BOTA,MARROM,39.0,1,299.00,660.00
BOT031-MAR-40.0,BOT031,BOTA SHERIFF WEST COURO (FEMININO),BOTA,MARROM,40.0,1,299.00,660.00
BOT021-VER-34.0,BOT021,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERDE,34.0,1,299.00,660.00
BOT018-VER-35.0,BOT018,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERDE,35.0,1,299.00,660.00
BOT017-VER-36.0,BOT017,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERDE,36.0,1,299.00,660.00
BOT020-VER-37.0,BOT020,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERDE,37.0,1,299.00,660.00
BOT022-VER-38.0,BOT022,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERDE,38.0,1,299.00,660.00
BOT019-VER-40.0,BOT019,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERDE,40.0,1,299.00,660.00
BOT026-VER-36.0,BOT026,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERMELHO,36.0,1,299.00,660.00
BOT024-VER-37.0,BOT024,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERMELHO,37.0,1,299.00,660.00
BOT025-VER-39.0,BOT025,BOTA SHERIFF WEST COURO (FEMININO),BOTA,VERMELHO,39.0,1,299.00,660.00
BOT008-PRE-37.0,BOT008,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,37.0,1,269.00,590.00
BOT007-PRE-38.0,BOT007,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,38.0,1,269.00,590.00
BOT023-PRE-39.0,BOT023,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,39.0,1,269.00,590.00
BOT028-PRE-40.0,BOT028,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,40.0,1,269.00,590.00
BOT009-PRE-41.0,BOT009,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,41.0,1,269.00,590.00
BOT011-PRE-42.0,BOT011,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,42.0,1,269.00,590.00
BOT012-PRE-43.0,BOT012,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,43.0,1,269.00,590.00
BOT010-PRE-44.0,BOT010,BOTA SHERIFF WEST COURO (MASCULINO),BOTA,PRETO/VERDE,44.0,1,269.00,590.00
CAL056-AZU-50.0,CAL056,CALCA ARIAT JEANS (MASCULINO),CALCA,AZUL,50.0,0,468.00,940.00
CAL057-AZU-48.0,CAL057,CALCA CINCH BLACK LABEL 2 JEANS (MASCULINO),CALCA,AZUL,48.0,1,390.00,860.00
CAL073-XXX-46.0,CAL073,CALCA CINCH BLACK LABEL 2 JEANS (MASCULINO),CALCA,,46.0,1,390.00,860.00
CAL054-AZU-50.0,CAL054,CALCA CINCH JEANS (MASCULINO),CALCA,AZUL ESCURO,50.0,0,454.00,910.00
CAL030-AZU-48.0,CAL030,CALCA CINCH SAWYER (MASCULINO),CALCA,AZUL,48.0,1,330.00,726.00
CAL035-AZU-40.0,CAL035,CALCA CINCH SAWYER JEANS (MASCULINO),CALCA,AZUL,40.0,1,310.00,680.00
CAL035-AZU-42.0,CAL035,CALCA CINCH SAWYER JEANS (MASCULINO),CALCA,AZUL,42.0,1,310.00,680.00
CAL035-AZU-44.0,CAL035,CALCA CINCH SAWYER JEANS (MASCULINO),CALCA,AZUL,44.0,0,310.00,680.00
CAL006-AZU-46.0,CAL006,CALCA CINCH SAWYER JEANS (MASCULINO),CALCA,AZUL ESCURO,46.0,1,454.00,998.00
CAL055-AZU-44.0,CAL055,CALCA CINCH SILVER LABEL 2 JEANS (MASCULINO),CALCA,AZUL ESCURO,44.0,1,330.00,725.00
CAL031-AZU-46.0,CAL031,CALCA CINCH SILVER LABEL SLIM (MASCULINO),CALCA,AZUL ESCURA,46.0,1,330.00,726.00
CAL066-AZU-40.0,CAL066,CALCA CLASSIC JEANS (FEMININO),CALCA,AZUL,40.0,0,119.00,260.00
CAL040-AZU-36.0,CAL040,CALCA CLASSIC JEANS (FEMININO),CALCA,AZUL CLARO,36.0,1,119.00,260.00
CAL043-AZU-38.0,CAL043,CALCA CLASSIC JEANS (FEMININO),CALCA,AZUL CLARO,38.0,1,119.00,260.00
CAL061-AZU-38.0,CAL061,CALCA CLASSIC JEANS (FEMININO),CALCA,AZUL CLARO,38.0,1,119.00,260.00
CAL053-AZU-38.0,CAL053,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,38.0,1,109.00,240.00
CAL036-AZU-40.0,CAL036,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,40.0,1,109.40,240.90
CAL048-AZU-42.0,CAL048,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,42.0,1,109.00,240.00
CAL047-AZU-44.0,CAL047,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,44.0,1,109.00,240.00
CAL046-AZU-46.0,CAL046,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,46.0,1,109.00,240.00
CAL001-AZU-48.0,CAL001,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,48.0,1,109.40,270.90
CAL049-AZU-50.0,CAL049,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,50.0,1,109.00,240.00
CAL045-AZU-52.0,CAL045,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,52.0,1,109.00,240.00
CAL063-AZU-40.0,CAL063,CALCA COUNTRY LAND JEANS (FEMININO),CALCA,AZUL,40.0,1,0.00,249.75
CAL80-JEA-46.0,CAL80,CALCA KA ZOON JEANS (MASCULINO),CALCA,JEANS,46.0,1,90.00,200.00
CAL077-JEA-46.0,CAL077,CALCA KING FARM JEANS (MASCULINO),CALCA,JEANS,46.0,1,100.00,250.00
CCAL002-JEA-40.0,CCAL002,CALCA LEVIS JEANS (FEMININA),CALCA,JEANS,40.0,1,369.99,519.99
CCAL001-JEA-42.0,CCAL001,CALCA LEVIS JEANS (FEMININA),CALCA,JEANS,42.0,0,369.99,519.99
CCAL003-JEA-44.0,CCAL003,CALCA LEVIS JEANS (FEMININA),CALCA,JEANS,44.0,0,369.99,519.99
CCAL004-JEA-40.0,CCAL004,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,40.0,1,329.99,479.99
CCAL009-JEA-42.0,CCAL009,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,42.0,1,329.99,479.99
CCAL017-JEA-42.0,CCAL017,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,42.0,1,349.99,499.99
CCAL015-JEA-44.0,CCAL015,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,44.0,1,349.99,499.99
CCAL006-JEA-44.0,CCAL006,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,44.0,1,299.99,449.99
CCAL012-JEA-46.0,CCAL012,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,1,439.99,589.99
CCAL007-JEA-46.0,CCAL007,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,2,329.99,479.99
