codigo_barras,codigo_interno,nome_produto,categoria,cor,tamanho,quantidade_atual,preco_custo,preco_venda
CINTO019-FIV-90.0,CINTO019,CINTO PAUL WESTERN COURO (UNISSEX),CINTO,FIVELA PRATA PELAGEM,90.0,1,137.66,318.71
CINTO012-FIV-95.0,CINTO012,CINTO PAUL WESTERN COURO (UNISSEX),CINTO,FIVELA PRATA PELAGEM STRASS,95.0,1,151.90,351.78
CINTO018-FIV-100.0,CINTO018,CINTO PAUL WESTERN COURO (UNISSEX),CINTO,FIVELA PRATA STRASS,100.0,1,109.16,252.70
CINTO001-FIV-105.0,CINTO001,CINTO PAUL WESTERN COURO (UNISSEX),CINTO,FIVELA PRATA TRABALHADO OKLAHOMA,105.0,1,99.66,230.80
CINTO002-FIV-90.0,CINTO002,CINTO PAUL WESTERN COURO (UNISSEX),CINTO,FIVELA PRATA TRABALHADO OKLAHOMA,90.0,1,99.66,230.80
CINTO020-DOU,CINTO020,CINTO RENATA MARTINO FIVELAS (FEMININO),CINTO,DOURADO,,1,25.00,62.50
CINTO021-PRA,CINTO021,CINTO RENATA MARTINO FIVELAS (FEMININO),CINTO,PRATA,,0,25.00,62.50
COLAR007,COLAR007,Colar Choker Country,COLAR,Preta/Marrom,unico,9,18.00,50.00
COLAR008,COLAR008,COLAR CHOKER DEMARCHI,COLAR,COLORIDAS,UNICO,11,39.90,90.00
COLAR004-MAR,COLAR004,COLAR RENATA MARTINO GRAVATA (FEMININO),COLAR,MARROM,,2,15.00,37.50
COLAR003-PRE,COLAR003,COLAR RENATA MARTINO GRAVATA (FEMININO),COLAR,PRETO,,1,15.00,37.50
COLAR002-MAR,COLAR002,COLAR RENATA MARTINO GRAVATA CAVALO (FEMININO),COLAR,MARROM,,2,15.00,37.50
COLAR001-PRE,COLAR001,COLAR RENATA MARTINO GRAVATA CAVALO (FEMININO),COLAR,PRETO,,2,15.00,37.50
COLAR005-MAR,COLAR005,COLAR RENATA MARTINO GRAVATA FERRADURA (FEMININO),COLAR,MARROM,,0,15.00,37.50
COL006-AZU-G,COL006,COLETE PWR JEANS (FEMININO),COLETE,AZUL,G,0,119.90,263.78
COL005-AZU-M,COL005,COLETE PWR JEANS (FEMININO),COLETE,AZUL,M,1,119.90,263.78
COL004-AZU-P,COL004,COLETE PWR JEANS (FEMININO),COLETE,AZUL,P,1,119.90,263.78
COL009-PRE-G,COL009,COLETE PWR JEANS ESTRELAS (FEMININO),COLETE,PRETO,G,1,139.90,307.78
COL008-PRE-M,COL008,COLETE PWR JEANS ESTRELAS (FEMININO),COLETE,PRETO,M,1,139.90,307.78
COL007-PRE-P,COL007,COLETE PWR JEANS ESTRELAS (FEMININO),COLETE,PRETO,P,1,139.90,307.78
COL002-PRE-G,COL002,COLETE TEXAS FARM PUFFER (MASCULINO),COLETE,PRETO,G,1,216.50,435.00
COL001-PRE-M,COL001,COLETE TEXAS FARM PUFFER (MASCULINO),COLETE,PRETO,M,1,216.50,435.00
COL003-CIN-G,COL003,COLETE TOMAHAWK PUFFER (UNISSEX),COLETE,CINZA,G,1,99.99,249.70
FIVELA006-ARR,FIVELA006,FIVELA ARIAT METAL (MASCULINO),FIVELA,ARRENDONDADA TEXAS,,0,170.00,374.00
FIVELA003-PRA,FIVELA003,FIVELA ARIAT METAL (MASCULINO),FIVELA,PRATA,,0,153.00,336.60
FIVELA005-SIM,FIVELA005,FIVELA ARIAT METAL (MASCULINO),FIVELA,SIMBOLO ARREDONDADA PRATA E DOURADA,,1,170.00,374.00
FIVELA002-SIM,FIVELA002,FIVELA ARIAT METAL (MASCULINO),FIVELA,SIMBOLO FLOR,,1,153.00,336.60
FIVELA001-SIM,FIVELA001,FIVELA ARIAT METAL (MASCULINO),FIVELA,SIMBOLO FLORES,,2,206.00,453.20
FIVELA004-SIM,FIVELA004,FIVELA ARIAT METAL (MASCULINO),FIVELA,SIMBOLO TOURO,,1,206.00,453.20
FL002-DOU,FL002,FIVELA LEN RENATA MARTINO ACESSORIO (FEMININO),FIVELA LEN,DOURADO,,3,10.00,25.00
FL001-PRA,FL001,FIVELA LEN RENATA MARTINO ACESSORIO (FEMININO),FIVELA LEN,PRATA,,3,10.00,25.00
JAQ004-PRE-G,JAQ004,JAQUETA ECLIPSE MISS COUNTRY JEANS COM STRASS (FEMININO),JAQUETA,PRETA,G,1,350.10,769.00
JAQ003-PRE-M,JAQ003,JAQUETA ECLIPSE MISS COUNTRY JEANS COM STRASS (FEMININO),JAQUETA,PRETA,M,1,350.10,769.00
JAQ001-AZU-G,JAQ001,JAQUETA HERITAGE MISS COUNTRY JEANS (FEMININO),JAQUETA,AZUL,G,1,278.00,610.00
JAQ002-AZU-P,JAQ002,JAQUETA HERITAGE MISS COUNTRY JEANS (FEMININO),JAQUETA,AZUL,P,1,278.00,610.00
JAQ010-CAR-G,JAQ010,JAQUETA PAC CUERS COURO (FEMININO),JAQUETA,CARAMELO,G,1,460.00,920.00
JAQ009-CAR-XL,JAQ009,JAQUETA PAC CUERS COURO (FEMININO),JAQUETA,CARAMELO,XL,1,460.00,920.00
JAQ013-CAR-XXL,JAQ013,JAQUETA PAC CUERS COURO (MASCULINO),JAQUETA,CARAMELO,XXL,1,460.00,920.00
JAQ011-MAR-XL,JAQ011,JAQUETA PAC CUERS COURO (MASCULINO),JAQUETA,MARROM,XL,1,460.00,920.00
JAQ014-MAR-G,JAQ014,JAQUETA PAC CUERS COURO (MASCULINO),JAQUETA,MARROM/CARAMELO,G,1,460.00,920.00
JAQ012-PRE-XXL,JAQ012,JAQUETA PAC CUERS COURO (MASCULINO),JAQUETA,PRETA,XXL,1,460.00,920.00
JAQ016-AZU-G,JAQ016,JAQUETA PWR JEANS (FEMININO),JAQUETA,AZUL,G,1,179.90,395.78
JAQ017-AZU-M,JAQ017,JAQUETA PWR JEANS (FEMININO),JAQUETA,AZUL,M,1,179.90,395.78
JAQ015-AZU-P,JAQ015,JAQUETA PWR JEANS (FEMININO),JAQUETA,AZUL,P,0,179.90,395.78
JAQ008-LON-G,JAQ008,JAQUETA TEXAS FARM PUFFER (MASCULINO),JAQUETA,LONA/VERDE,G,0,234.56,469.00
JAQ006-LON-GG,JAQ006,JAQUETA TEXAS FARM PUFFER (MASCULINO),JAQUETA,LONA/VERDE,GG,0,234.56,469.00
JAQ005-LON-M,JAQ005,JAQUETA TEXAS FARM PUFFER (MASCULINO),JAQUETA,LONA/VERDE,M,1,234.56,469.00
JAQ007-LON-P,JAQ007,JAQUETA TEXAS FARM PUFFER (MASCULINO),JAQUETA,LONA/VERDE,P,1,234.56,469.00
LENCO001-EST-GRANDE,LENCO001,LENCO RENATA MARTINO ESTAMPAS (FEMININO),LENCO,ESTAMPAS,GRANDE,7,25.00,65.00
LENCO002-EST-PEQUENO,LENCO002,LENCO RENATA MARTINO ESTAMPAS (FEMININO),LENCO,ESTAMPAS,PEQUENO,5,20.00,50.00
ML010-PRE-G,ML010,MOLETOM PWR GOLA REDONDA (FEMININO),MOLETOM,PRETO,G,1,109.90,241.78
ML014-PRE-G,ML014,MOLETOM PWR GOLA REDONDA (FEMININO),MOLETOM,PRETO,G,1,109.90,241.78
ML011-PRE-M,ML011,MOLETOM PWR GOLA REDONDA (FEMININO),MOLETOM,PRETO,M,1,109.90,241.78
ML013-PRE-M,ML013,MOLETOM PWR GOLA REDONDA (FEMININO),MOLETOM,PRETO,M,1,109.90,241.78
ML009-PRE-M,ML009,MOLETOM PWR GOLA REDONDA (FEMININO),MOLETOM,PRETO,M,1,109.90,241.78
ML008-PRE-P,ML008,MOLETOM PWR GOLA REDONDA (FEMININO),MOLETOM,PRETO,P,1,109.90,241.78
ML012-PRE-P,ML012,MOLETOM PWR GOLA REDONDA (FEMININO),MOLETOM,PRETO,P,1,109.90,241.78
ML007-PRE-M,ML007,MOLETOM TEXAS FARM COM CAPUZ (UNISSEX),MOLETOM,PRETO,M,0,180.41,360.00
ML005-PRE-GG,ML005,MOLETOM TEXAS FARM COM CAPUZ (UNISSEX),MOLETOM,PRETO/BRANCO,GG,0,180.41,360.00
ML004-PRE-M,ML004,MOLETOM TEXAS FARM GOLA CARECA (UNISSEX),MOLETOM,PRETO/BEGE,M,1,123.41,246.00
ML002-PRE-G,ML002,MOLETOM TEXAS FARM GOLA CARECA (UNISSEX),MOLETOM,PRETO/CARAMELO,G,1,132.91,265.00
ML003-PRE-PP,ML003,MOLETOM TEXAS FARM GOLA CARECA (UNISSEX),MOLETOM,PRETO/CARAMELO,PP,1,132.91,265.00
ML001-PRE-GG,ML001,MOLETOM TOMAHAWK COM BOLSO E ESTAMPA (FEMININO),MOLETOM,PRETO,GG,1,150.00,330.00
ML006-PRE-GG,ML006,MOLETOM TOMAHAWK COM CAPUZ (FEMININO),MOLETOM,PRETO/ESTAMPADO,GG,1,150.00,330.00
PERF013-XXX-100ML,PERF013,PERFUME ARABE AFNAN 9 AM POUR FEMME (FEMININO),PERFUME,100ML,,0,118.45,280.00
PERF014-XXX-100ML,PERF014,PERFUME ARABE AFNAN 9 PM REBEL (MASCULINO),PERFUME,100ML,,1,118.45,280.00
PERF012-XXX-100ML,PERF012,PERFUME ARABE ASAD ZANZIBAR (MASCULINO),PERFUME,100ML,,1,118.45,280.00
PERF016-XXX-100ML,PERF016,PERFUME ARABE BADEE AL OUD AMETHYST,PERFUME,100ML,,1,113.00,349.00
PERF015-XXX-100ML,PERF015,PERFUME ARABE BADEE AL OUD NOBLE BLUSH (FEMININO),PERFUME,100ML,,1,113.00,349.00
PERF003-XXX-100ML,PERF003,PERFUME ARABE CLUB DE NUIT ICONIC (MASCULINO),PERFUME,100ML,,1,164.80,329.60
PERF007-XXX-100ML,PERF007,PERFUME ARABE FAKHAR BLACK (MASCULINO),PERFUME,100ML,,1,144.20,349.90
PERF006-XXX-100ML,PERF006,PERFUME ARABE FAKHAR EXTRAIT GOLDEN,PERFUME,100ML,,1,97.85,349.90
PERF005-XXX-100ML,PERF005,PERFUME ARABE FAKHAR ROSE (FEMININO),PERFUME,100ML,,0,144.20,349.90
PERF025-XXX-100ML,PERF025,PERFUME ARABE HER CONFESSION (FEMININO),PERFUME,100ML,,1,133.90,329.90
PERF022-XXX-85ML,PERF022,PERFUME ARABE KHANJAR (MASCULINO),PERFUME,85ML,,1,187.00,439.00
PERF027-XXX-100ML,PERF027,PERFUME ARABE MAYAR NATURAL INTENSE (FEMININO),PERFUME,100ML,,1,95.00,190.00
PERF026-XXX-100ML,PERF026,PERFUME ARABE MUSAMAN BLACK INTENSE,PERFUME,100ML,,2,185.40,370.80
PERF008-XXX-100ML,PERF008,PERFUME ARABE QUEEN OF ARABIA (FEMININO),PERFUME,100ML,,1,247.20,549.90
PERF009-XXX-80ML,PERF009,PERFUME ARABE ROYAL AMBER (FEMININO),PERFUME,80ML,,1,257.50,590.00
PERF019-XXX-100ML,PERF019,PERFUME ARABE SABAH AL WARD SUGAR (FEMININO),PERFUME,100ML,,1,113.00,349.90
PERF002-XXX-100ML,PERF002,PERFUME ARABE SABAH AL WARD GARDEN OF EDEN (FEMININO),PERFUME,100ML,,2,187.90,419.00
PERF001-XXX-100ML,PERF001,PERFUME ARABE SABAH AL WARD TRADICIONAL (FEMININO),PERFUME,100ML,,2,77.25,280.00
PERF004-XXX-100ML,PERF004,PERFUME ARABE SHAHEEN SILVER PRATA (MASCULINO),PERFUME,100ML,,2,123.60,310.00
PERF018-XXX-100ML,PERF018,PERFUME ARABE TERIAQ (FEMININO),PERFUME,100ML,,1,164.00,439.90
PERF021-XXX-100ML,PERF021,PERFUME ARABE THARWAH GOLD (FEMININO),PERFUME,100ML,,1,118.90,399.90
PERF017-XXX-100ML,PERF017,PERFUME ARABE VULCAN FEU,PERFUME,100ML,,1,113.00,439.90
PERF020-XXX-100ML,PERF020,PERFUME ARABE YARA ROSE (FEMININO),PERFUME,100ML,,2,128.75,259.00
PERF028-XXX-100ML,PERF028,PERFUME GRIFE 212 MEN NYC (MASCULINO),PERFUME,100ML,,1,305.00,615.00
PERF011-XXX-100ML,PERF011,PERFUME GRIFE ANIMALE FOR MEN (MASCULINO),PERFUME,100ML,,1,113.30,359.00
PERF030-XXX-80ML,PERF030,PERFUME GRIFE GOOD GIRL (FEMININO),PERFUME,80ML,,1,401.70,810.00
PERF024-XXX-100ML,PERF024,PERFUME GRIFE HUGO BOSS MAN (MASCULINO),PERFUME,100ML,,1,247.00,439.00
PERF029-XXX-100ML,PERF029,PERFUME GRIFE LA VIE EST BELLE (FEMININO),PERFUME,100ML,,1,375.95,750.00
PERF010-XXX-80ML,PERF010,PERFUME GRIFE SCANDAL (FEMININO),PERFUME,80ML,,1,381.10,765.00
PERF023-XXX-100ML,PERF023,PERFUME GRIFE VERSACE EROS FLAME (MASCULINO),PERFUME,100ML,,1,368.76,469.90
PCARTAO003,PCARTAO003,PORTA CARTAO DEMARCHI,PORTA-CARTAO,COLORIDAS,UNICO,3,39.90,90.00
PCARTAO001-MAR,PCARTAO001,PORTA-CARTAO CLASSIC COURO (MASCULINO),PORTA-CARTAO,MARROM,,2,37.30,85.00
REG004-AZU-G,REG004,REGATA POWER COUNTRY CORACAO PWC (FEMININO),REGATA,AZUL,G,0,25.90,54.80
REG003-MAR-M,REG003,REGATA POWER COUNTRY COWGIRL ESCRITA (FEMININO),REGATA,MARROM,M,1,24.90,54.80
REG002-OFF,REG002,REGATA TCB ATACADO REGATA ESTAMPAS (FEMININO),REGATA,OFF,,3,18.00,50.00
REG001-PRE,REG001,REGATA TCB ATACADO REGATA ESTAMPAS (FEMININO),REGATA,PRETO,,0,18.00,50.00
REG005-VER-M,REG005,REGATA TEXAS FARM CANELADA (FEMININO),REGATA,VERDE CHA,M,1,49.30,110.00
SHORTBABY001-JEA-G,SHORTBABY001,SHORT BABY CLASSIC JEANS (UNISSEX),SHORT,JEANS,G,1,53.00,116.90
SHORTBABY002-JEA-M,SHORTBABY002,SHORT BABY CLASSIC JEANS (UNISSEX),SHORT,JEANS,M,1,53.00,116.90
SHORTBABY003-JEA-P,SHORTBABY003,SHORT BABY CLASSIC JEANS (UNISSEX),SHORT,JEANS,P,0,53.00,116.90
SHORT012-AZU-40.0,SHORT012,SHORT PWR JEANS (FEMININO),SHORT,AZUL,40.0,1,134.90,296.78
SHORT013-AZU-42.0,SHORT013,SHORT PWR JEANS (FEMININO),SHORT,AZUL,42.0,1,134.90,296.78
SHORT008-BRA-M,SHORT008,SHORT RED MAN ESTAMPADO (MASCULINO),SHORT,BRANCO,M,1,65.00,143.00
SHORT009-ROS-G,SHORT009,SHORT RED MAN ESTAMPADO (MASCULINO),SHORT,ROSA,G,0,65.00,143.00
SHORT007-VER-GG,SHORT007,SHORT RED MAN ESTAMPADO (MASCULINO),SHORT,VERDE,GG,1,65.00,143.00
SHORT011-PRE-G3,SHORT011,SHORT RED MAN LISO (MASCULINO),SHORT,PRETO,G3,1,65.00,143.00
SHORT010-ROS-GG,SHORT010,SHORT RED MAN LISO (MASCULINO),SHORT,ROSA,GG,0,65.00,143.00
SHORT002-AZU-G,SHORT002,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,AZUL MARINHO / VERDE NEON,G,1,66.41,147.00
SHORT002-AZU-GG,SHORT002,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,AZUL MARINHO / VERDE NEON,GG,0,66.41,147.00
SHORT002-AZU-M,SHORT002,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,AZUL MARINHO / VERDE NEON,M,1,66.41,147.00
SHORT002-AZU-P,SHORT002,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,AZUL MARINHO / VERDE NEON,P,1,66.41,147.00
SHORT002-AZU-XG,SHORT002,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,AZUL MARINHO / VERDE NEON,XG,1,66.41,147.00
SHORT006-AZU-G,SHORT006,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,AZUL PETROLEO / LARANJA NEON,G,0,66.41,147.00
SHORT006-AZU-GG,SHORT006,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,AZUL PETROLEO / LARANJA NEON,GG,1,66.41,147.00
SHORT003-PRE-G,SHORT003,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,PRETO / AMARELO NEON,G,1,66.41,147.00
SHORT003-PRE-GG,SHORT003,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,PRETO / AMARELO NEON,GG,0,66.41,147.00
SHORT003-PRE-M,SHORT003,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,PRETO / AMARELO NEON,M,1,66.41,147.00
SHORT003-PRE-P,SHORT003,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,PRETO / AMARELO NEON,P,1,66.41,147.00
SHORT003-PRE-XG,SHORT003,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,PRETO / AMARELO NEON,XG,1,66.41,147.00
SHORT004-VER-M,SHORT004,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,VERDE FLORESTA,M,0,66.41,147.00
SHORT004-VER-P,SHORT004,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,VERDE FLORESTA,P,1,66.41,147.00
SHORT005-VER-GG,SHORT005,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,VERDE MILITAR,GG,0,66.41,147.00
SHORT005-VER-XG,SHORT005,SHORT TEXAS FARM TACTEL (MASCULINO),SHORT,VERDE MILITAR,XG,1,66.41,147.00
VEST002-MAR-M,VEST002,VESTIDO MISS COUNTRY VESTIDO OAK (FEMININO),VESTIDO,MARROM,M,1,329.00,649.90
VEST001-MAR-P,VEST001,VESTIDO MISS COUNTRY VESTIDO OAK (FEMININO),VESTIDO,MARROM,P,1,329.00,649.90
VTD002-PRE-GG,VTD002,VESTIDO POWER COUNTRY MIDI MALHA (FEMININO),VESTIDO,PRETO,GG,1,79.90,175.78
VTD001-OFF-P,VTD001,VESTIDO POWER COUNTRY VESTIDO MIDI DE MALHA (FEMININO),VESTIDO,OFF,P,1,79.90,175.78
